symbol,isin,name,face_value,coupon_rate,coupon_frequency,maturity_date,close_price,description
577GS2030,IN0020200153,GOVERNMENT OF INDIA 29208 GOI 03AG30,100,0.057699999999999994,2,2030-08-03,98.15,GOVERNMENT OF INDIA 29208 GOI 03AG30 5.77 FV RS 100
772GS2049,IN0020190032,GOVERNMENT OF INDIA 21587 GOI 15JU49,100,0.07719999999999999,2,2049-06-15,108,GOVERNMENT OF INDIA 21587 GOI 15JU49 7.72 FV RS 100
788GS2030,IN0020150028,GOVERNMENT OF INDIA 17608 GOI 19MR30,100,0.0788,2,2030-03-19,105.69,GOVERNMENT OF INDIA 17608 GOI 19MR30 7.88 FV RS 100
563GS2026,IN0020210012,GOVERNMENT OF INDIA 30243 GOI 12AP26,100,0.056299999999999996,2,2026-04-12,101.25,GOVERNMENT OF INDIA 30243 GOI 12AP26 5.63 FV RS 100
748MH35,IN2220230212,STATE DEVELOPMENT LOAN 33933 MH 07FB35,100,0.0748,2,2035-02-07,99.23,STATE DEVELOPMENT LOAN 33933 MH 07FB35 7.48 FV RS 100
833GS2032,IN0020070077,GOVERNMENT OF INDIA 07013 GOI 21SP32,100,0.0833,2,2032-09-21,-,GOVERNMENT OF INDIA 07013 GOI 21SP32 8.33 FV RS 100
713MH37,IN2220240286,STATE DEVELOPMENT LOAN 34978 MH 19SP37,100,0.0713,2,2037-09-19,94.3,STATE DEVELOPMENT LOAN 34978 MH 19SP37 7.13 FV RS 100
706GS2028,IN0020230010,GOVERNMENT OF INDIA 32829 GOI 10AP28,100,0.0706,2,2028-04-10,103.05,GOVERNMENT OF INDIA 32829 GOI 10AP28 7.06 FV RS 100
76TN32,IN3120220139,STATE DEVELOPMENT LOAN 31915 TN 19AG32,100,0.076,2,2032-08-19,-,STATE DEVELOPMENT LOAN 31915 TN 19AG32 7.6 FV RS 100
668GS2031,IN0020170042,GOVERNMENT OF INDIA 19771 GOI 17SP31,100,0.0668,2,2031-09-17,97.7,GOVERNMENT OF INDIA 19771 GOI 17SP31 6.68 FV RS 100
723MH35,IN2220240229,STATE DEVELOPMENT LOAN 34879 MH 04SP35,100,0.0723,2,2035-09-04,-,STATE DEVELOPMENT LOAN 34879 MH 04SP35 7.23 FV RS 100
697GS2026,IN0020160035,GOVERNMENT OF INDIA 18702 GOI 06SP26,100,0.0697,2,2026-09-06,103.69,GOVERNMENT OF INDIA 18702 GOI 06SP26 6.97 FV RS 100
719GS2060,IN0020200039,GOVERNMENT OF INDIA 22978 GOI 15SP60,100,0.0719,2,2060-09-15,97.5,GOVERNMENT OF INDIA 22978 GOI 15SP60 7.19 FV RS 100
828GS2032,IN0020060086,GOVERNMENT OF INDIA 07005 GOI 15FB32,100,0.0828,2,2032-02-15,113,GOVERNMENT OF INDIA 07005 GOI 15FB32 8.28 FV RS 100
74GJ26,IN1520230146,STATE DEVELOPMENT LOAN 33767 GUJ 27DC26,100,0.07400000000000001,2,2026-12-27,102.25,STATE DEVELOPMENT LOAN 33767 GUJ 27DC26 7.4 FV RS 100
767GA33A,IN1420230204,STATE DEVELOPMENT LOAN 33766 GOA 27DC33,100,0.0767,2,2033-12-27,-,STATE DEVELOPMENT LOAN 33766 GOA 27DC33 7.67 FV RS 100
706GS2046,IN0020160068,GOVERNMENT OF INDIA 18782 GOI 10OT46,100,0.0706,2,2046-10-10,102.59,GOVERNMENT OF INDIA 18782 GOI 10OT46 7.06 FV RS 100
704MH40,IN2220250129,STATE DEVELOPMENT LOAN 36125 MH 25JU40,100,0.0704,2,2040-06-25,-,STATE DEVELOPMENT LOAN 36125 MH 25JU40 7.04 FV RS 100
723GJ27,IN1520240012,STATE DEVELOPMENT LOAN 34595 GUJ 19JU27,100,0.0723,2,2027-06-19,99.6,STATE DEVELOPMENT LOAN 34595 GUJ 19JU27 7.23 FV RS 100
759GS2029,IN0020150069,GOVERNMENT OF INDIA 17938 GOI 20MR29,100,0.0759,2,2029-03-20,103.97,GOVERNMENT OF INDIA 17938 GOI 20MR29 7.59 FV RS 100
756TN53A,IN3120230351,STATE DEVELOPMENT LOAN 33776 TN 27DC53,100,0.0756,2,2053-12-27,100,STATE DEVELOPMENT LOAN 33776 TN 27DC53 7.56 FV RS 100
701MH32,IN2220210180,STATE DEVELOPMENT LOAN 30567 MH 07JL32,100,0.0701,2,2032-07-07,-,STATE DEVELOPMENT LOAN 30567 MH 07JL32 7.01 FV RS 100
713KL58,IN2020250089,STATE DEVELOPMENT LOAN 36176 KER 02JL58,100,0.0713,2,2058-07-02,100,STATE DEVELOPMENT LOAN 36176 KER 02JL58 7.13 FV RS 100
669GJ34,IN1520250037,STATE DEVELOPMENT LOAN 35973 GUJ 14MY34,100,0.0669,2,2034-05-14,98,STATE DEVELOPMENT LOAN 35973 GUJ 14MY34 6.69 FV RS 100
794TN32,IN3120220030,STATE DEVELOPMENT LOAN 31715 TN 15JU32,100,0.0794,2,2032-06-15,102.97,STATE DEVELOPMENT LOAN 31715 TN 15JU32 7.94 FV RS 100
758GJ32,IN1520230153,STATE DEVELOPMENT LOAN 33768 GUJ 27DC32,100,0.0758,2,2032-12-27,102,STATE DEVELOPMENT LOAN 33768 GUJ 27DC32 7.58 FV RS 100
