symbol,isin,name,face_value,coupon_rate,coupon_frequency,maturity_date,close_price,description
579GS2030,IN0020200070,GOVERNMENT OF INDIA 23145 GOI 11MY30,100,0.0579,2,2030-05-11,99.4,GOVERNMENT OF INDIA 23145 GOI 11MY30 5.79 FV RS 100
733KL54,IN2020240080,STATE DEVELOPMENT LOAN 34690 KER 24JL54,100,0.0733,2,2054-07-24,-,STATE DEVELOPMENT LOAN 34690 KER 24JL54 7.33 FV RS 100
769GS2043,IN0020190040,GOVERNMENT OF INDIA 21620 GOI 17JU43,100,0.07690000000000001,2,2043-06-17,107.76,GOVERNMENT OF INDIA 21620 GOI 17JU43 7.69 FV RS 100
769KA33A,IN1920230092,STATE DEVELOPMENT LOAN 33705 KAR 06DC33,100,0.07690000000000001,2,2033-12-06,100.16,STATE DEVELOPMENT LOAN 33705 KAR 06DC33 7.69 FV RS 100
71GS2034,IN0020240019,GOVERNMENT OF INDIA 34208 GOI 08AP34,100,0.071,2,2034-04-08,103.77,GOVERNMENT OF INDIA 34208 GOI 08AP34 7.1 FV RS 100
619GS2034,IN0020200096,GOVERNMENT OF INDIA 23202 GOI 16SP34,100,0.061900000000000004,2,2034-09-16,96.51,GOVERNMENT OF INDIA 23202 GOI 16SP34 6.19 FV RS 100
826GS2027,IN0020070036,GOVERNMENT OF INDIA 07009 GOI 02AG27,100,0.08259999999999999,2,2027-08-02,105.95,GOVERNMENT OF INDIA 07009 GOI 02AG27 8.26 FV RS 100
695GS2061,IN0020210202,GOVERNMENT OF INDIA 30962 GOI 16DC61,100,0.0695,2,2061-12-16,97,GOVERNMENT OF INDIA 30962 GOI 16DC61 6.95 FV RS 100
781GJ32,IN1520220113,STATE DEVELOPMENT LOAN 32211 GUJ 12OT32,100,0.0781,2,2032-10-12,-,STATE DEVELOPMENT LOAN 32211 GUJ 12OT32 7.81 FV RS 100
83GS2040,IN0020100031,GOVERNMENT OF INDIA 10003 GOI 02JL40,100,0.083,2,2040-07-02,115.5,GOVERNMENT OF INDIA 10003 GOI 02JL40 8.30 FV RS 100
745AP37,IN1020220068,STATE DEVELOPMENT LOAN 31595 AP 04MY37,100,0.0745,2,2037-05-04,-,STATE DEVELOPMENT LOAN 31595 AP 04MY37 7.45 FV RS 100
763GJ34,IN1520230237,STATE DEVELOPMENT LOAN 33877 GUJ 24JN34,100,0.07629999999999999,2,2034-01-24,-,STATE DEVELOPMENT LOAN 33877 GUJ 24JN34 7.63 FV RS 100
744AP36,IN1020230471,STATE DEVELOPMENT LOAN 33418 AP 22SP36,100,0.07440000000000001,2,2036-09-22,98,STATE DEVELOPMENT LOAN 33418 AP 22SP36 7.44 FV RS 100
628GS2032,IN0020250059,GOVERNMENT OF INDIA 36204 GOI 14JL32,100,0.06280000000000001,2,2032-07-14,100.95,GOVERNMENT OF INDIA 36204 GOI 14JL32 6.28 FV RS 100
726MH49,IN2220240138,STATE DEVELOPMENT LOAN 34752 MH 07AG49,100,0.0726,2,2049-08-07,-,STATE DEVELOPMENT LOAN 34752 MH 07AG49 7.26 FV RS 100
739TN32,IN3120240111,STATE DEVELOPMENT LOAN 34582 TN 12JU32,100,0.0739,2,2032-06-12,-,STATE DEVELOPMENT LOAN 34582 TN 12JU32 7.39 FV RS 100
610GS2031,IN0020210095,GOVERNMENT OF INDIA 30581 GOI 12JL31,100,0.061,2,2031-07-12,100.5,GOVERNMENT OF INDIA 30581 GOI 12JL31 6.1 FV RS 100
726GS2033,IN0020220151,GOVERNMENT OF INDIA 32584 GOI 06FB33,100,0.0726,2,2033-02-06,106,GOVERNMENT OF INDIA 32584 GOI 06FB33 7.26 FV RS 100
727GS2026,IN0020190016,GOVERNMENT OF INDIA 21563 GOI 08AP26,100,0.0727,2,2026-04-08,100.91,GOVERNMENT OF INDIA 21563 GOI 08AP26 7.27 FV RS 100
717GS2028,IN0020170174,GOVERNMENT OF INDIA 20061 GOI 08JN28,100,0.0717,2,2028-01-08,103.2,GOVERNMENT OF INDIA 20061 GOI 08JN28 7.17 FV RS 100
729TN54,IN3120240194,STATE DEVELOPMENT LOAN 34724 TN 31JL54,100,0.0729,2,2054-07-31,-,STATE DEVELOPMENT LOAN 34724 TN 31JL54 7.29 FV RS 100
733GS2026,IN0020230119,GOVERNMENT OF INDIA 33559 GOI 30OT26,100,0.0733,2,2026-10-30,101.22,GOVERNMENT OF INDIA 33559 GOI 30OT26 7.33 FV RS 100
715AP37,IN1020210176,STATE DEVELOPMENT LOAN 30560 AP 07JL37,100,0.07150000000000001,2,2037-07-07,-,STATE DEVELOPMENT LOAN 30560 AP 07JL37 7.15 FV RS 100
727MH39,IN2220240112,STATE DEVELOPMENT LOAN 34750 MH 07AG39,100,0.0727,2,2039-08-07,-,STATE DEVELOPMENT LOAN 34750 MH 07AG39 7.27 FV RS 100
749TN34,IN3120240038,STATE DEVELOPMENT LOAN 34252 TN 24AP34,100,0.07490000000000001,2,2034-04-24,-,STATE DEVELOPMENT LOAN 34252 TN 24AP34 7.49 FV RS 100
832GS2032,IN0020070044,GOVERNMENT OF INDIA 07010 GOI 02AG32,100,0.0832,2,2032-08-02,114,GOVERNMENT OF INDIA 07010 GOI 02AG32 8.32 FV RS 100
759GS2026,IN0020150093,GOVERNMENT OF INDIA 18098 GOI 11JN26,100,0.0759,2,2026-01-11,106.5,GOVERNMENT OF INDIA 18098 GOI 11JN26 7.59 FV RS 100
923GS2043,IN0020130079,GOVERNMENT OF INDIA 16634 GOI 23DC43,100,0.09230000000000001,2,2043-12-23,114.99,GOVERNMENT OF INDIA 16634 GOI 23DC43 9.23 FV RS 100
699GS2026,IN0020230028,GOVERNMENT OF INDIA 32845 GOI 17AP26,100,0.0699,2,2026-04-17,101.3,GOVERNMENT OF INDIA 32845 GOI 17AP26 6.99 FV RS 100
757GS2033,IN0020190065,GOVERNMENT OF INDIA 21658 GOI 17JU33,100,0.0757,2,2033-06-17,107.75,GOVERNMENT OF INDIA 21658 GOI 17JU33 7.57 FV RS 100
